PUF_ID,final_weight,REGION,STRATUM1,LANG,Q1_HS,Q2_COL_CREDIT,Q3_Q3_A_R,Q3_Q3_B_R,Q3_Q3_C_R,Q3_Q3_D_R,Q3_Q3_E_R,Q4_HIGHEST_EDU_FOS,Q5_COL_ENROLL,Q6_EDU_PLAN,Q7A,Q7_B_DEGREE_PLAN_FOS,Q8_ESL,Q9_CERT_LIC,Q10_NUM_ACTIVE,Q11_MOST_IMP_CERT_LIC,Q12_CERT_LIC_WORK,Q13_CERT_LIC_REQ,Q14_CERT_LIC_REV,Q15_Q15_A_R,Q15_Q15_B_R,Q15_Q15_C_R,Q15_D_SPECIFY_FLAG,Q16_CERT_LIC_CUR_JOB,Q17_A,Q17_B,Q17_C,Q17_D,Q18_A,Q18_C,Q18_D,Q18_D_SPECIFY,Q19_CERTIFICATE_FOS,Q21_CERTIFICATE_HOURS,Q22_CERTIFICATE_ENROLL,Q23_CERTIFCATE_CREDITS,Q24_CERTIFICATE_TRAIN,Q25_CERTIFICATE_JOB,Q26_A,Q26_B,Q26_C,Q27_APP,Q28_APP_WORK,Q29_Q29_A_R,Q29_Q29_B_R,Q29_Q29_C_R,Q29_Q29_D_R,Q29_Q29_E_R,Q30_APP_CERT_LIC,Q31_APP_CERTIFICATE,Q32_APP_JOB,Q33_APP_SKILL_USE,Q34_A,Q34_B,Q34_C,Q35_EMPLOYED,Q36_FULL_TIME,Q37_WEEKS_WORKED,Q38_HOURS_WORKED,Q39_EARNINGS,Q40_BUSINESS_TYPE,Q43_JOB_LIC,Q44_MILITARY,Q45_GENDER,Q46_MARITAL_STATUS,Q47_AGE,Q48_HISPANIC,Q49_RACE_01,Q49_RACE_02,Q49_RACE_03,Q49_RACE_04,Q49_RACE_05,Q49_RACE_06,Q49_RACE_07,Q50_INTERNET,Q51_CITIZENSHIP
99006060,546.61597614,MIDWEST,2,1,2,4,1,2,1,1,1,15,1,,,,1,2,2,5,8,2,2,2,2,2,0,3,3,3,3,3,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,80,8,8,2,1,2,3,61,1,0,0,0,1,0,0,0,2,2
99021950,496.84695474,WEST,16,1,2,2,,,,,,6,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,3,40,2,16,1,1,2,2,57,1,0,0,1,0,0,0,,1,2
99060510,496.84695474,WEST,16,1,2,2,,,,,,15,1,,,,1,1,,,,,,,,,0,,,,,,2,1,2,4,14,3,3,2,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,3,1,1,1,1,,5,40,2,6,1,1,2,3,40,1,0,0,1,0,0,0,0,2,1
99051780,150311.4275,WEST,17,1,2,1,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,40,6,7,1,1,2,1,36,1,1,0,0,0,0,0,0,2,1
99033460,116967.06214,SOUTH,13,1,2,2,,,,,,9,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,6,30,1,1,1,1,1,1,21,1,0,1,0,0,0,0,0,1,1
99045170,8519.0414442,MIDWEST,2,1,2,4,1,2,2,1,2,6,1,,,,1,1,,,,,,,,,0,,,,,,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,50,8,6,1,4,1,1,64,1,1,0,0,0,0,0,,2,1
99046680,9352.8961213,MIDWEST,2,1,2,4,2,2,1,1,1,15,1,,,,1,2,2,5,8,2,2,2,1,1,0,3,3,3,3,3,2,1,1,,,,,,,,,,,3,6,2,2,1,1,2,2,2,2,3,3,2,3,2,1,1,12,4,8,2,1,2,1,58,1,1,0,0,0,0,0,0,2,1
99014850,71499.752067,WEST,20,1,2,4,1,2,2,1,1,12,1,,,,2,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,40,8,8,1,1,2,1,41,1,0,0,0,1,0,0,,2,2
99050300,3388.8296033,SOUTH,11,1,2,1,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,7,,,,,1,2,1,46,1,1,0,1,0,0,0,,1,1
99019630,114207.2236,MIDWEST,4,1,2,4,1,2,1,1,1,17,1,,,,1,2,1,12,14,2,2,1,2,1,0,3,3,3,3,3,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,50,9,14,2,1,1,1,47,1,1,0,0,0,0,0,0,2,1
99004960,248.42347737,WEST,16,1,3,2,,,,,,26,1,,,,1,1,,,,,,,,,0,,,,,,2,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,7,,,,,1,2,4,53,1,0,0,1,0,0,0,,2,1
99034220,29106.836425,WEST,18,1,1,,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,6,40,1,2,1,1,2,5,18,1,0,0,0,1,0,0,0,2,1
99046390,303.91661248,MIDWEST,1,1,2,2,,,,,,1,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,40,4,6,1,1,2,5,35,1,0,0,1,0,0,0,0,2,1
99054400,1522.5694842,WEST,16,1,2,1,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,7,1,16,1,1,2,5,22,1,0,0,1,0,0,0,0,1,1
99048490,633.22724541,WEST,16,1,2,4,2,1,1,1,1,11,1,,,,2,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,-3,4,6,-3,1,2,5,52,1,0,0,1,0,0,0,,1,1
99048320,16158.88487,WEST,17,1,2,4,1,2,1,1,1,19,1,,,,1,1,,,,,,,,,0,,,,,,1,1,2,1,6,2,2,2,1,3,4,2,3,1,,,,,,,,,,,,,,2,2,1,40,8,14,1,1,1,1,55,1,0,0,0,1,0,0,0,2,2
99051340,9531.5737268,WEST,18,1,3,4,1,2,2,1,1,8,1,,,,1,2,1,9,7,1,2,1,2,1,0,3,4,4,4,3,2,2,2,6,6,4,4,2,1,4,2,2,2,1,,,,,,,,,,,,,,2,2,1,40,8,14,1,4,2,1,52,1,1,0,0,0,0,0,0,2,1
99026330,1247.9076894,MIDWEST,2,1,2,4,1,2,1,1,1,6,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,45,9,16,1,4,1,1,48,2,1,0,0,0,0,0,,2,2
99003080,6739.1413553,MIDWEST,2,1,2,4,1,2,1,2,1,15,1,,,,1,2,2,1,8,2,1,2,1,1,0,3,3,3,3,3,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,1,1,30,8,8,2,1,2,1,42,1,1,0,0,0,0,0,0,2,1
